SOLB.BR	2.9	0.0	0.0	0.0	1.5	1.0	1.0	0.5	5
VIO.BR	3.9	1.0	0.0	0.0	0.5	1.0	1.0	2.0	5
WEHB.BR	2.9	0.5	0.0	0.0	0.5	1.0	1.0	1.0	5
CABA	2.9	2.0	0.5	0.0	0.0	1.5	0.0	0.0	7
CALM	2.5	0.0	1.5	0.0	1.0	1.0	0.0	0.0	6
CAE	3.6	1.0	1.0	1.0	0.5	1.5	0.0	0.0	7
CAPR	2.9	0.5	1.0	0.0	0.5	0.5	1.0	0.5	7
CARG	2.9	1.0	0.0	1.0	0.5	1.5	0.0	0.0	7
CASS	2.5	0.0	1.0	0.0	0.5	1.0	1.0	0.0	7
CBRL	3.6	1.0	0.0	1.0	1.5	1.5	0.0	0.0	7
CBUS	5.0	1.5	1.0	0.0	2.0	2.0	0.0	0.5	7
CCNE	2.9	0.5	1.0	0.0	1.0	1.0	0.5	0.0	6
CCBG	2.9	0.0	0.5	1.0	1.0	1.5	0.0	0.0	6
CDW	3.6	1.0	0.5	0.0	2.0	1.0	0.5	0.0	7
CDLX	3.9	0.5	2.0	0.0	1.0	2.0	0.0	0.0	6
CECO	1.8	1.5	0.0	0.0	0.5	0.5	0.0	0.0	7
CELH	2.5	1.0	1.0	0.0	0.0	0.5	0.5	0.5	7
CGEM	2.5	0.0	1.0	0.0	0.0	2.0	0.0	0.5	7
CERT	2.9	1.5	0.0	0.0	0.5	1.5	0.0	0.5	7
CG	5.0	2.0	2.0	0.0	1.5	1.0	0.0	0.5	7
CGON	2.5	0.0	1.0	0.0	0.0	2.0	0.0	0.5	7
CHRD	1.4	0.0	1.0	0.0	0.0	1.0	0.0	0.0	7
CHTR	3.9	0.5	1.0	0.0	2.0	1.0	1.0	0.0	7
CHDN	4.6	0.5	1.5	1.0	2.0	1.0	0.5	0.0	7
CIGI	3.9	1.5	2.0	0.0	1.0	1.0	0.0	0.0	7
CLBK	3.2	0.0	1.5	1.0	1.0	1.0	0.0	0.0	6
CLFD	3.2	2.0	0.5	0.0	0.0	1.5	0.0	0.5	7
CLPT	3.9	1.5	0.5	0.0	2.0	1.5	0.0	0.0	7
CLMT	4.6	0.5	2.0	1.0	1.0	1.0	0.5	0.5	6
CNDT	3.2	1.5	0.5	0.0	1.0	1.0	0.5	0.0	7
CMCSA	2.5	0.5	0.5	0.0	1.0	1.0	0.5	0.0	7
CMPS	3.6	2.0	1.0	0.0	0.5	1.0	0.0	0.5	7
CNXC	2.9	0.0	0.5	0.0	1.5	1.5	0.0	0.5	7
COLL	4.6	0.5	2.0	0.0	2.0	1.5	0.5	0.0	7
CORT	2.1	0.0	1.0	0.0	0.0	2.0	0.0	0.0	7
COHU	3.2	1.5	0.0	1.0	0.5	1.5	0.0	0.0	7
COCP	3.6	1.5	0.5	0.0	1.0	1.0	0.5	0.5	7
CRBP	3.6	2.0	1.5	0.0	0.0	1.0	0.0	0.5	7
CPB	3.6	0.0	1.0	0.0	1.5	1.5	0.5	0.5	7
CRDF	3.6	1.5	0.5	1.0	0.0	2.0	0.0	0.0	7
CRMD	3.2	1.5	0.5	0.0	0.5	2.0	0.0	0.0	7
CRNT	2.5	1.5	1.0	0.0	0.0	0.5	0.5	0.0	7
CROX	2.5	1.5	0.0	0.0	1.0	1.0	0.0	0.0	7
CRTO	1.8	1.0	1.0	0.0	0.0	0.5	0.0	0.0	6
CRWV	3.2	1.0	0.5	0.0	2.0	0.5	0.0	0.5	6
CSIQ	6.1	1.5	2.0	1.0	1.5	1.5	0.5	0.5	7
CTKB	2.5	1.0	0.0	1.0	0.0	1.0	0.0	0.5	7
CSX	3.2	1.5	0.5	0.0	1.0	1.0	0.5	0.0	7
CTSH	1.8	1.0	0.0	0.0	0.0	1.0	0.5	0.0	7
CWST	2.5	0.5	0.0	0.0	1.0	2.0	0.0	0.0	7
CVGI	2.9	1.5	0.0	0.0	1.0	0.5	0.5	0.5	7
