CHEF	1	1	0	2
CHYM	0	2	1	3
CLBT	2	1	0	3
CLNE	0	0	2	2
CME	1	2	0	3
CNOB	0	2	0	2
COLM	2	0	1	3
CPRT	0	2	0	2
CRDO	1	1	0	2
CRNX	2	0	1	3
CRUS	1	1	0	2
CTMX	2	0	1	3
CVLT	1	0	1	2
CYTK	2	1	0	3
DBX	0	0	2	2
DIOD	1	0	0	1
DNLI	1	1	1	3
DORM	3	0	0	3
DRVN	0	0	2	2
ECPG	0	2	0	2
EOSE	0	1	0	1
EVGO	0	1	1	2
EYPT	1	0	0	1
FBNC	0	1	2	3
FELE	1	0	1	2
FIGR	0	2	1	3
FIVN	1	1	0	2
FLNA	0	0	2	2
FNKO	0	1	2	3
FRSH	0	3	0	3
FSV	3	0	0	3
FWDI	1	1	0	2
QIA.DE	1	1	1	3
GBDC	2	1	0	3
GDYN	0	1	1	2
GH	3	0	0	3
GLBE	1	2	0	3
GLPI	1	2	0	3
GNTX	2	1	0	3
GRAL	2	0	1	3
GSM	1	1	0	2
HAFC	1	2	0	3
HBNC	0	2	0	2
HDSN	0	1	1	2
HNST	0	0	2	2
HOPE	0	1	2	3
HQY	1	1	0	2
HSIC	2	1	0	3
HTLD	1	0	2	3
HWC	3	0	0	3
IDCC	1	1	1	3
IMTX	0	2	1	3
INSE	0	0	1	1
INTU	3	0	0	3
IOSP	3	0	0	3
IQ.US	0	1	0	1
IRTC	1	0	0	1
JBIO	0	1	2	3
JOYY	1	2	0	3
KLAC	0	2	0	2
KLIC	1	2	0	3
KNSA	2	1	0	3
KSPI	2	1	0	3
LASR	2	1	0	3
LE	1	1	1	3
LFST	1	1	0	2
LI	0	0	1	1
LIVN	1	1	1	3
LMNR.US	1	0	1	2
LOCO	1	1	0	2
LQDT	1	0	0	1
LUNG	0	1	0	1
LYTS	3	0	0	3
MAR	1	1	1	3
MDB	2	1	0	3
MELI	2	1	0	3
MGNX	1	0	1	2
MITK	1	0	0	1
MMYT	0	1	0	1
MPWR	0	1	1	2
MRTN	2	0	0	2
MSFT	2	1	0	3
MTRX	2	1	0	3
STLAM.MI	0	1	2	3
NAMS	0	0	3	3
NBIX	2	1	0	3
NDSN	1	0	2	3
NEXT	1	1	1	3
NMFC	0	0	1	1
NOVT	0	1	0	1
NSIT.US	0	3	0	3
NTGR	2	1	0	3
NVTS	0	1	0	1
NXH	1	0	0	1
AA	1	1	0	2
ABR	0	1	2	3
ACH.US	0	1	0	1
AERO.US	2	0	1	3
AG	0	1	0	1
AGO	2	0	1	3
AIG	2	1	0	3
AJG	3	0	0	3
ALIT	1	0	2	3
ALTG	1	1	0	2
AMC	0	0	2	2
AMP.US	2	1	0	3
AMRZ	1	1	0	2
ANVS	0	0	1	1
APG	0	3	0	3
AR.US	3	0	0	3
ARLO	2	1	0	3
AS	1	1	1	3
ASPN	1	2	0	3
ATKR	0	3	0	3
AU	1	1	1	3
AVTR	3	0	0	3
BAC	1	2	0	3
BAP	1	2	0	3
