HIMX	Himax Technologies Inc-ADR	13.67	100.00%	Moderate Buy	1.83%
GMAB.US	Genmab A/S -ADR	33.41			0%
AEIS	Advanced Energy Industries Inc	292.62	90.91%	Strong Buy	0.14%
MSEX	Middlesex Water Company	58.76	100.00%	Moderate Buy	2.47%
CIFR	Cipher Digital Inc	17.21	100.00%	Strong Buy	0%
MBLY	Mobileye Global Inc	8.88	62.50%	Moderate Buy	0%
NXT.US	Nextpower Inc	87.86			0%
ENLT	Enlight Renewable Energy Ltd	79.59	57.14%	Moderate Buy	0%
ATAI	AtaiBeckley Inc	7.42	91.67%	Hold	0%
DAVE	Dave Inc.	335.01	84.62%	Strong Buy	0%
TOP.US	Top Financial Group LTD	13.28			0%
SFTGQ	Shift Technologies Inc Class A	0.00			0%
UHAL.B	U-Haul Holding Co	63.28			0.32%
GEHC	GE HealthCare Technologies Inc	74.06	64.29%	Moderate Buy	0.19%
SCLX	Scilex Holding Company	5.80			0%
TORO	Toro Corp	6.00			0%
LLYVA	Liberty Live Holdings Inc-A	101.90			0%
WBTN	WEBTOON Entertainment Inc	8.37	50.00%	Moderate Buy	0%
CXAI	CXApp Inc	3.94			0%
INKT	Mink Therapeutics Inc	11.62	100.00%	Moderate Buy	0%
OUST	Ouster Inc	37.95	80.00%	Strong Buy	0%
AKAM	Akamai Technologies	110.09	57.89%	Moderate Buy	0%
CHDN	Churchill Downs Inc.	93.12	100.00%	Strong Buy	0.47%
CME	CME Group	270.87	38.46%	Hold	1.84%
COO	The Cooper Companies Inc	76.16	50.00%	Moderate Buy	0%
UNIT	Uniti Group Inc	10.06	66.67%	Hold	0%
DPZ	Domino's Pizza Inc	334.37	56.25%	Moderate Buy	2.18%
GLPI	Gaming and Leisure	43.71	60.00%	Hold	7.26%
GRMN	Garmin Ltd.	293.09	80.00%	Hold	1.27%
GSAT	Globalstar	82.00	100.00%	Hold	0%
HAIN	Hain Celestial	0.62	100.00%	Hold	0%
