DEEZR.PA	5.8	0.5	1.0	1.0	1.0	1.0	1.0	1.0	0.5	2.0	0.5	2.0	1.0	2.0	2.0	1.0	0.5	2.0	1.0	15
FME.DE	6.9	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	2.0	1.5	2.0	2.0	2.0	2.0	2.0	1.0	1.5	1.0	17
CRZK.DE	7.8	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	12
AEIN.DE	5.0	0.0	1.0	1.0	1.0	1.0	1.0	0.5	0.5	1.0	0.5	2.0	1.5	1.5	2.0	0.0	0.5	2.0	1.0	15
TCMD	5.7	0.0	2.0	1.0	0.0	1.0	1.0	2.0	0.5	1.0	0.5	2.0	1.5	1.5	2.0	1.0	1.0	1.5	1.0	18
7013.T	5.8	1.5	1.0	1.0	0.0	1.5	1.5	1.0	1.5	0.0	1.5	2.0	1.0	1.5	2.0	2.0	1.0	0.5	0.5	17
ALFER.PA	6.4	1.5	1.0	0.5	1.0	1.0	1.0	1.5	0.5	2.0	0.5	2.0	2.0	2.0	2.0	1.0	0.5	2.0	1.0	16
1171.HK	7.2	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.5	1.5	1.0	1.0	1.5	2.0	2.0	2.0	1.5	2.0	1.0	16
INSE	5.0	1.0	1.0	0.5	0.0	0.0	0.0	2.0	0.5	0.0	1.0	1.0	1.0	2.0	2.0	1.0	1.5	1.5	2.0	15
CEC.DE	5.4	2.0	1.0	1.0	1.0	0.5	1.0	0.5	0.0	2.0	0.5	1.0	1.0	2.0	2.0	1.0	0.5	2.0	0.5	15
MBX	3.9	1.0	2.0	1.0	0.0	0.5	1.0	0.0	0.0	0.0	1.5	1.0	0.5	1.0	1.0	1.0	0.0	1.5	1.0	13
ONC	7.1	2.0	2.0	1.0	2.0	1.5	2.0	2.0	1.5	1.0	2.0	2.0	0.5	0.0	1.0	1.0	1.0	1.5	1.5	18
RGNX	4.7	1.0	1.0	1.0	2.0	0.0	2.0	0.0	2.0	0.0	1.5	1.0	0.5	1.0	1.5	1.0	0.0	1.5	0.0	15
6936.HK	5.8	1.0	1.0	1.0	0.0	1.0	1.0	0.5	0.5	1.5	1.5	1.0	1.5	2.0	2.0	2.0	0.5	2.0	1.0	17
LATOb.ST	5.1	1.0	1.0	1.0	1.0	2.0	1.0	1.5	1.0	0.5	0.5	1.0	1.5	0.0	1.0	2.0	1.0	0.5	1.0	15
NAH.L	6.7	2.0	1.0	1.0	1.0	1.0	1.0	2.0	1.5	2.0	1.0	2.0	0.0	2.0	2.0	1.0	1.0	1.0	1.5	15
EC	6.5	2.0	0.0	1.0	0.5	1.5	2.0	1.5	0.0	2.0	1.5	1.5	2.0	1.0	1.0	2.0	2.0	1.0	1.0	14
PAGS	7.8	2.0	1.0	1.0	0.5	1.5	0.5	2.0	2.0	0.0	1.5	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	18
AVXL	3.9	1.0	1.0	1.0	0.5	0.5	1.0	0.0	0.0	0.0	0.5	1.0	1.5	1.0	1.0	1.0	0.0	2.0	1.0	11
IMXI	6.0	0.5	2.0	1.0	2.0	1.0	0.0	1.0	0.5	0.5	0.5	2.0	1.5	2.0	2.0	1.0	1.0	2.0	1.0	18
