UFCS	6.1	6.6	4.8	23
RDNW	3.6		3.6	7
GALP.LS	7.5		7.5	10
KALMAR.HE	5.5		5.5	10
ACGL	5.8	5.7	6.1	24
OII	6.3	7.3	3.9	23
ALBOA.PA	4.5		4.5	6
STORYb.ST	6.1		6.1	10
00066.HK	5.7		5.7	9
BELFB	6.4	6.6	6.1	23
CBRAIN.CO	6.1		6.1	9
KNTK	6.2	6.1	6.4	24
AZZ	6.6	7.1	5.5	23
836.HK	5.2		5.2	9
CURV	5.1	5.5	4.1	20
CLX	4.7	4.3	5.7	24
UHR.ZU	4.8	4.1	6.4	20
CWY.ASX	5.8	5.7	5.9	19
WRB.US	6.0	5.9	6.1	23
1317.HK	5.5		5.5	8
HRTG	6.5	6.6	6.4	23
TFF.PA	5.5	5.7	5.0	19
LDA.MC	6.4		6.4	10
FAST.NV	5.4	5.7	4.8	17
NEXTA.BR	5.9		5.9	9
4751.T	4.3		4.3	9
XYZ.ASX	5.5		5.5	10
BF-B	6.4		6.4	10
BLND.US	5.7	6.1	4.8	21
01336.HK	6.6		6.6	9
AER	7.2	7.5	6.6	23
CAVA	5.8	6.4	4.5	24
SPG	5.2	5.2	5.2	23
CCCC	5.0	5.2	4.5	21
CBKD.L	5.5		5.5	6
BEZ.L	3.6		3.6	9
HARVIA.HE	6.1		6.1	10
7489.HK	4.8	4.6	5.2	16
VSXY	6.1	6.6	5.0	24
SAV.DE	5.9	5.9		3
4452.T	6.1		6.1	10
CZR	4.5	4.1	5.5	22
ALGAE.PA	3.4		3.4	7
4519.T	6.4		6.4	10
3407.T	5.0		5.0	9
BCE	6.0	5.9	6.1	22
TROW	6.1	5.5	7.5	23
EVTC	6.9	6.8	7.3	23
MAIR	7.1	7.7	5.7	20
ESNT	7.8	7.5	8.4	23
CION	6.4		6.4	10
1808.T	4.5		4.5	9
6504.T	4.3		4.3	10
ALCOF.PA	5.5		5.5	7
1318.HK	6.6	6.1	7.7	20
2883.HK	6.0	6.2	5.7	22
2727.HK	5.5	5.5	5.5	21
WSHP	3.9		3.9	6
SRAD	5.0	4.6	6.1	24
HKFOODS.HE	5.9		5.9	9
HE	4.0	3.9	4.3	22
ALDRV.PA	3.2		3.2	6
BGA.ASX	5.6	5.9	5.0	19
