TICKER	NAME	EXCHANGE
AMM.DE	Grounds Real Estate Development AG	Frankfurt
AUS.DE	AT &amp; S Austria Technologie &amp; Systemtechnik AG	Frankfurt
C3R.DE	Cherry SE	Frankfurt
DFV.DE	DFV Deutsche Familienversicherung AG	Frankfurt
MDG1.DE	Medigene AG	Frankfurt
VROS.DE	Verianos Se	Frankfurt
WDI.DE	Wirecard	Frankfurt
ALAGR.PA	Agrogeneration SA	Paris
ALHG.PA	Louis Hachette Group	Paris
ALMCP.PA	Mcphy Energy SA	Paris
ALNEV.PA	Neovacs SA	Paris
ALTD.PA	Tonner Drones SA	Paris
LTA.PA	Altamir SCA	Paris
NOKIA.PA	Nokia Oyj	Paris
ALU.ASX	Alurion Resources Ltd	Sydney
BVR.ASX	Bellavista Resources Ltd	Sydney
LKE.ASX	Lake Resources NL	Sydney
NSR.ASX	National Storage REIT	Sydney
WJL.ASX	Webjet Group Limited	Sydney
COFFEEB.ST	Coffee Stain Group AB	Stockholm
OCTVSD-B.ST	Octave Intelligence Plc	Stockholm
00981.HK	Semiconductor Manufacturing International Corporation	Hong Kong
03333.HK	China Evergrande Group	Hong Kong
0728.HK	China Telecom	Hong Kong
0762.HK	China Unicom HK	Hong Kong
0883.HK	Cnooc	Hong Kong
0941.HK	China Mobile	Hong Kong
1186.HK	China Railway Construction	Hong Kong
1800.HK	China Communications Construction	Hong Kong
7489.HK	VOYAH Automobile Technology Co Ltd	Hong Kong
9658.HK	Super Hi International Holding Ltd	Hong Kong
CAVEN.OL	Cavendish Hydrogen ASA	Oslo
KMAR.OL	Kongsberg Maritime AS	Oslo
PCIB.OL	PCI Biotech Holding ASA	Oslo
PRYME.OL	Pryme NV	Oslo
PUBLI.OL	PPI Public Property Invest AB	Oslo
TIETO.OL	Tietoevry Oyj	Oslo
BSGR.NV	B&amp;S Group SA	Amsterdam
EARTH.NV	Green Earth Group NV	Amsterdam
HAVAS.NV	Havas Bv	Amsterdam
TKWY.NV	Just Eat Takeaway.com NV	Amsterdam
WHATS.BR	Whats Cooking Group NV	Brussels
EASOR.HE	Easor Oyj	Helsinki
LASTIK.HE	Luotea Oyj	Helsinki
BAVA.CO	Bavarian Nordic A/S	Copenhagen
APPS.MC	Applus Services SA	Madrid
IMC.MC	Inmocemento	Madrid
ABBNY	ABB Ltd - ADR	OTC Markets
AMLIF	American Lithium Corp	OTC Markets
ARVLF	Arrival	OTC Markets
ASAIY	Sendas Distribuidora SA	OTC Markets
ATHXQ	Athersys Inc	OTC Markets
ATROB	Astronics Corp	OTC Markets
AXICY	Axia Energia-ADR	OTC Markets
BIGGQ	Big Lots Inc	OTC Markets
CAJPY	Canon Inc - ADR	OTC Markets
CNDA	Concord Acquisition Corp II	OTC Markets
CNTM	ConnectM Technology Solutions Inc	OTC Markets
DIDIY	DIDI Global Inc.	OTC Markets
DMKPQ	DMK Pharmaceuticals Corp	OTC Markets
DMNIF	Damon Inc	OTC Markets
EGRX	Eagle Pharmaceuticals Inc	OTC Markets
EVCO	Everest Consolidator Acquisition Corporation	OTC Markets
EVFM	Evofem Biosciences Inc	OTC Markets
FRCB	First Republic Bank/CA	OTC Markets
FTCHQ	Farfetch	OTC Markets
GDST	Goldenstone Acquisition Ltd	OTC Markets
GLFE	Golf Entertainment Group Inc	OTC Markets
GOEVQ	Canoo Inc.	OTC Markets
HTGMQ	HTG Molecular Diagnostics Inc	OTC Markets
