AMSC	0.078200005	3.268	8.857143	37.00246725651152	27.280000686645508	31.49539993286133	35.789299964904785	1321501696	1.32B	1.3321525015099407	-7.619369954899893	0.74	5.282772219740261	0.681	5.36	449.0925000000001	-17.3469387755102	0.42564	0.3	None	0.30163	2.431	0.74259	1.593	0.01485	0.2902	0.02569	0.011398017910678489	0.03444	4	20.132841	2.308734	55.544	0.0	None	-63.564516000000005	3.498530554890328	4.022	0.07242	10.874523160657374	10.919063250833634	0.411	0.53540003	96.54999986272284
AMZN	0.0094	1.443	20.397425	45.842451850783235	253.5399932861328	255.47019927978516	239.9339998626709	2734761705472	2.73T	0.8558695659805631	-1.261782657748533	1.5	63.09209790146143	45.617	2.16	76.9775025	2.276413406301335	0.1744	0.196	0.043010752688172005	0.30558002	1.033	0.68711	0.843	0.06589	0.5077	0.13689	0.11771135253060018	0.08866	60	24.369732	4.9562125	16.952	0.0	None	-4.793238999999999	-6.468029081038461	3.691	0.21776	4.4972109665684075	20.80793469854269	2.449	-0.1924	90.95299999869131
AMLX	0.1478	-0.119	None	59.36990696961285	33.63999938964844	25.685600128173828	17.33000006198883	3748271360	3.75B	0.5763549407649589	6.3883570423839755	None	75.25568917732906	2.197	3.4	2.1025	-12.071129707112965	0.0	None	None	-0.7473	12.12	0.94011	11.88	-0.4413	0.0	0.0	-2.0627208804860917	0.07181	11	-29.13336	15.661079	-21.658	0.0	None	151.08857	-4.958474739290965	None	0.0	6.69001723503818	None	None	0.22870001	87.20800026938771
ANGI	0.1021	1.608	None	50.81891435210975	4.960000038146973	5.326599979400635	7.9436499834060665	201159008	201.16M	0.8211468327229805	5.084751242024469	117.6	4.957507352315672	61.422	4.65	-1382.834949	-29.051778272535252	-0.22348	-0.109	-0.2857142857142856	-0.26253	1.197	0.88539004	1.052	0.01936	0.95728	0.00908	6.754855343092565	0.113299996	5	5.7305264	0.29207397	3.834	0.0	None	-88.55794	-8.794702154505718	0.428	0.11169	93.80688137018453	6.085613576057139	None	1.1707	71.82900115693633
AONC	0.0039	0.522	None	52.026368658034	11.0	10.69699994660914	10.655149981509894	336356160	336.36M	0.9375	10.110112632853326	None	78.85153057566852	139.569	0.63	None	None	-0.00226	0.514	None	-0.30168	1.529	0.00084	1.199	-0.023810001	0.06848	0.017	0.2198562381018977	0.77925	None	None	None	-104.985	0.0	None	-15.746879999999999	-53.273371962293524	0.333	-0.00317	21.59615569401197	-0.2809346325457303	None	None	35.091141172281716
ANIP	0.1785	0.45	15.33769	36.588070386436414	70.4000015258789	77.24399978637695	79.08284969329834	1617112832	1.62B	0.782053009301241	0.29918660374454453	None	2.750759898956417	104.825	8.22	24.77250015	-13.999586622467067	0.1107	0.259	None	0.20459	2.91	1.07048	2.297	0.05446	0.60403997	0.14974	8.175419141068321	0.054429997	8	6.7422876	2.5263762	8.394	0.0	None	-44.71155999999999	44.16270513154467	1.797	0.21403	23.310802841987467	19.36529693000118	1.891	0.1247	85.59012727113078
APC	0.078600004	None	23.049383	46.97291534729349	18.670000076293945	19.4053999710083	None	1541586048	1.54B	0.4050817254516407	-1.3213530602108225	None	35.38135754860055	303.906	6.01	6.7866675	-20.512820512820515	0.00644	0.274	None	None	1.178	0.98632	0.757	None	0.050040003	0.01279	None	0.00439	4	17.613209	3.445285	11.295	0.3214	None	-7.940614999999999	11.543052254180662	0.277	0.02456	0.9446764271701555	0.9775496922689506	0.22	0.1158	99.84271559860154
API	0.0087	0.796	40.8	45.63504758867798	4.079999923706055	4.164700021743775	4.098175016641616	344963104	344.96M	0.4585524300797936	0.4926103745908273	None	39.91507107032079	18.218	1.86	None	None	0.07229	0.18	None	0.019550001	5.107	0.38646	4.807	-0.00453	0.64489	-0.02358	-3.731884613375928	0.03024	2	-45.333332	0.6140879	361.82	0.0	None	-9.464157	8.149625911386641	0.644	0.00178	99.67326824610205	8.93904834733081	0.503	None	84.88279507940189
APP	0.0363	2.488	25.671274	50.73244614304447	334.239990234375	373.7271997070313	480.7059757995605	112284418048	112.28B	0.7850959771963052	3.1732309700107986	0.7	8.198877560057797	111.13	1.54	4.119999975	-1.428774106435239	0.64575994	0.528	-0.09469696969696972	2.03686	4.3	0.7607	4.166	0.4646	0.88464	0.77678	2.832054775971332	0.14314	31	15.933801	35.4293	20.742	0.0	None	-61.129082000000004	-11.38294999232263	16.447	0.79291	2.719260753254966	66.29823679221072	0.545	0.252	82.89325356848481
APPS	0.0871	2.879	None	55.9482588021744	11.725000381469727	10.626900024414063	6.575675003528595	1418915584	1.42B	0.6654135358394172	-0.7197293406170038	0.69	71.30952683706133	186.834	2.43	95.11750024999999	50.0	-0.058229998	0.268	None	-0.2039	1.205	0.70719004	1.118	0.04693	0.49080002	0.13894	2.0381233616784353	0.053150002	3	12.342106	7.4444447	13.606	0.0	None	119.04437000000001	-5.057526292491738	2.885	0.21207	3.0255499681649844	8.474983293908236	None	0.3103	90.17899992769566
ARDX	0.08979999	0.692	None	25.61731489359036	3.5199999809265137	4.45680000782013	5.806775006055832	908820224	908.82M	0.9110906586848849	-1.675976091011433	None	0.20449858745427166	189.585	4.44	-11.609999499999999	-133.16510454217735	-0.12354	0.238	0.0	-0.38609	3.342	0.73349	2.891	-0.0425	0.75024	-0.102790006	2.252150585944707	0.0317	10	11.763526	5.8862877	-27.341	0.0	None	-60.922993000000005	-13.426558390098856	1.947	-0.07121	31.010535258511148	-3.8412574541685647	None	2.589	81.59307257438402
