GRLA.CO	6.7	2.0	1.0	1.0	1
JYSK.CO	5.8	1.0	1.5	1.0	2
LASP.CO	5.0	1.0	1.0	1.0	1
NNIT.CO	6.7	1.0	2.0	1.0	1
MTHH.CO	6.7	1.0	2.0	1.0	1
NSIS-B.CO	7.5	2.0	1.5	1.0	2
MAERSKB.CO	5.0	2.0	0.0	1.0	2
PAALb.CO	5.8	1.0	1.5	1.0	2
PRIMOF.CO	6.7	2.0	1.0	1.0	1
SJF.CO	5.0	1.0	1.0	1.0	1
DAVE	5.0	0.0	2.0	1.0	2
DCTH	5.8	0.5	2.0	1.0	2
TIV.CO	3.3	0.0	1.0	1.0	1
ZEAL.CO	1.7	0.0	0.0	1.0	2
TRYG.CO	4.2	0.0	1.5	1.0	2
ROCKB.CO	3.3	0.0	1.0	1.0	2
DGICA	6.7	2.0	1.0	1.0	2
DLO	8.3	2.0	2.0	1.0	2
DMRC	5.8	1.0	1.5	1.0	1
DNUT	6.7	1.0	2.0	1.0	1
DOO	6.7	1.0	2.0	1.0	1
DOYU	6.7	1.0	2.0	1.0	1
DRS	6.7	2.0	1.0	1.0	2
DUOL	4.2	0.0	1.5	1.0	2
AJMANBANK.AE	5.0	1.0	1.0	1.0	1
DSGR	7.5	2.0	1.5	1.0	2
DXPE	7.5	2.0	1.5	1.0	2
DEWA.AE	5.0	1.0	1.0	1.0	2
DTC.AE	5.0	0.0	2.0	1.0	2
DIB.AE	4.2	0.5	1.0	1.0	2
EMAARDEV.AE	8.3	2.0	2.0	1.0	2
TAALEEM.AE	8.3	2.0	2.0	1.0	2
SALIK.AE	4.2	0.0	1.5	1.0	2
UPP.AE	5.0	0.0	2.0	1.0	2
ERC.AE	3.3	0.0	1.0	1.0	1
ELMT	3.3	1.0	0.0	1.0	1
ECHO	3.3	1.0	0.0	1.0	1
ENGN	5.8	1.0	1.5	1.0	1
EEFT	4.2	0.0	1.5	1.0	2
EH	6.7	1.0	2.0	1.0	1
ENSG	5.8	1.5	1.0	1.0	2
EQPT	8.3	2.0	2.0	1.0	2
ENVX	3.3	1.0	0.0	1.0	1
ESTA	6.7	1.0	2.0	1.0	1
ESEA	4.2	1.5	0.0	1.0	2
EVCM	5.8	1.5	1.0	1.0	2
EWBC	5.8	1.5	1.0	1.0	2
EXEL	6.7	1.5	1.5	1.0	2
EXPE	7.5	2.0	1.5	1.0	2
EYE	7.5	2.0	1.5	1.0	2
FA	7.5	2.0	1.5	1.0	2
FATE	5.0	1.0	1.0	1.0	1
FCFS	7.5	2.0	1.5	1.0	2
FISI	6.7	2.0	1.0	1.0	2
FDUS	2.5	0.0	0.5	1.0	2
FIVE	6.7	2.0	1.0	1.0	2
FIBK	5.8	1.5	1.0	1.0	2
FFIN	5.0	1.0	1.0	1.0	2
FLD	6.7	1.0	2.0	1.0	1
FLY	5.0	1.0	1.0	1.0	1
FMNB	6.7	2.0	1.0	1.0	2
FRVO	6.7	1.0	2.0	1.0	1
FOSL	6.7	1.0	2.0	1.0	1
FRMI	6.7	1.0	2.0	1.0	1
FOXF	7.5	2.0	1.5	1.0	2
FSLY	5.8	1.0	1.5	1.0	1
FRPT	6.7	1.5	1.5	1.0	2
FTNT	6.7	2.0	1.0	1.0	2
FUTU	8.3	2.0	2.0	1.0	2
FWONK	5.0	0.0	2.0	1.0	2
1SXP.DE	4.2	0.0	1.5	1.0	2
8TRA.DE	8.3	2.0	2.0	1.0	2
0B2.DE	6.7	2.0	1.0	1.0	1
2HRA.DE	3.3	1.0	0.0	1.0	1
AAD.DE	6.7	1.0	2.0	1.0	1
ADN1.DE	6.7	1.0	2.0	1.0	1
ACX.DE	4.2	1.0	0.5	1.0	1
AEIN.DE	6.7	1.0	2.0	1.0	1
ALG.DE	6.7	2.0	1.0	1.0	1
APM.DE	6.7	1.0	2.0	1.0	1
AMV0.DE	6.7	1.0	2.0	1.0	1
BC8.DE	6.7	2.0	1.0	1.0	2
AMD.EUR	8.3	2.0	2.0	1.0	2
BIKE.DE	8.3	2.0	2.0	1.0	2
BEZ.DE	6.7	1.0	2.0	1.0	1
AVGO.EUR	8.3	2.0	2.0	1.0	2
BMW.DE	5.0	0.0	2.0	1.0	2
BOSS.DE	5.0	0.0	2.0	1.0	2
BST.DE	4.2	0.0	1.5	1.0	2
C1V0.DE	6.7	1.0	2.0	1.0	1
CEK.DE	5.0	0.0	2.0	1.0	2
CLIQ.DE	5.0	0.0	2.0	1.0	2
CSH.DE	6.7	1.0	2.0	1.0	1
CYR.DE	6.7	1.0	2.0	1.0	1
DAR.DE	8.3	2.0	2.0	1.0	2
DEX.DE	5.8	1.0	1.5	1.0	1
DMP.DE	6.7	1.5	1.5	1.0	2
DBK.DE	5.8	1.0	1.5	1.0	2
DTD2.DE	5.0	1.0	1.0	1.0	2
DIE.DE	3.3	0.0	1.0	1.0	1
DP4A.DE	6.7	2.0	1.0	1.0	1
DUE.DE	6.7	1.0	2.0	1.0	1
E4C.DE	6.7	2.0	1.0	1.0	2
ELB.DE	6.7	1.0	2.0	1.0	1
ETG.DE	6.7	2.0	1.0	1.0	1
ENR.DE	8.3	2.0	2.0	1.0	2
EVT.DE	6.7	1.0	2.0	1.0	1
FC9.DE	1.7	0.0	0.0	1.0	2
FIE.DE	5.8	1.0	1.5	1.0	2
FRE.DE	5.8	1.5	1.0	1.0	2
FPE.DE	6.7	2.0	1.0	1.0	2
GLJ.DE	5.8	1.0	1.5	1.0	2
FYB.DE	6.7	1.0	2.0	1.0	1
GBF.DE	6.7	1.5	1.5	1.0	2
GXI.DE	6.7	1.0	2.0	1.0	1
HAW.DE	4.2	0.0	1.5	1.0	2
HLAG.DE	1.7	0.0	0.0	1.0	2
HEI.DE	5.8	1.0	1.5	1.0	2
HFG.DE	5.0	0.0	2.0	1.0	2
HMU.DE	5.0	2.0	0.0	1.0	2
GOOG.EUR	5.0	2.0	0.0	1.0	2
HOT.DE	8.3	2.0	2.0	1.0	2
IBU.DE	6.7	1.0	2.0	1.0	1
ILM1.DE	5.0	0.0	2.0	1.0	2
IOS.DE	4.2	0.0	1.5	1.0	2
ISHA.DE	6.7	1.0	2.0	1.0	1
IVU.DE	7.5	2.0	1.5	1.0	2
JY0.DE	6.7	2.0	1.0	1.0	1
JEN.DE	8.3	2.0	2.0	1.0	2
KTA.DE	6.7	1.0	2.0	1.0	1
KCO.DE	6.7	1.0	2.0	1.0	1
KSB.DE	4.2	0.0	1.5	1.0	2
LIN.DE	5.0	1.0	1.0	1.0	1
LSX.DE	6.7	1.0	2.0	1.0	1
KWS.DE	3.3	0.5	0.5	1.0	2
M12.DE	6.7	2.0	1.0	1.0	1
MA10.DE	5.0	0.0	2.0	1.0	2
MBG.DE	7.5	1.5	2.0	1.0	2
MLL.DE	3.3	0.0	1.0	1.0	1
MRK.DE	3.3	0.0	1.0	1.0	2
NA9.DE	6.7	2.0	1.0	1.0	2
MUM.DE	4.2	0.0	1.5	1.0	2
NCH2.DE	6.7	1.0	2.0	1.0	1
NEM.DE	8.3	2.0	2.0	1.0	2
NN6.DE	6.7	1.0	2.0	1.0	1
MSFT.EUR	7.5	2.0	1.5	1.0	2
O4B.DE	8.3	2.0	2.0	1.0	2
OEWA.DE	3.3	0.0	1.0	1.0	1
PAT.DE	6.7	1.0	2.0	1.0	1
PFV.DE	6.7	2.0	1.0	1.0	1
PNE3.DE	5.8	1.0	1.5	1.0	1
R3NK.DE	5.0	0.0	2.0	1.0	2
PSM.DE	6.7	1.0	2.0	1.0	1
QBY0.DE	6.7	1.0	2.0	1.0	1
RCMN.DE	3.3	0.0	1.0	1.0	1
RRTL.DE	8.3	2.0	2.0	1.0	2
SBS.DE	8.3	2.0	2.0	1.0	2
SDF.DE	5.0	1.0	1.0	1.0	1
RWE.DE	7.5	2.0	1.5	1.0	2
SGL.DE	6.7	1.0	2.0	1.0	1
SIE.DE	6.7	1.5	1.5	1.0	2
SRAG.DE	4.2	1.0	0.5	1.0	1
SIX3.DE	5.0	1.0	1.0	1.0	1
STM.DE	6.7	2.0	1.0	1.0	2
SLL.DE	3.3	0.0	1.0	1.0	1
SZU.DE	6.7	1.0	2.0	1.0	1
SYT.DE	6.7	1.0	2.0	1.0	1
TKMS.DE	5.0	0.0	2.0	1.0	2
TPG0.DE	5.0	0.5	1.5	1.0	2
TMV.DE	6.7	2.0	1.0	1.0	2
UN0.DE	8.3	2.0	2.0	1.0	2
UBK.DE	5.0	0.0	2.0	1.0	2
UZU.DE	5.8	1.0	1.5	1.0	2
V6C.DE	6.7	1.0	2.0	1.0	1
VG80.DE	6.7	2.0	1.0	1.0	1
VOS.DE	5.0	0.0	2.0	1.0	2
VIH1.DE	3.3	0.0	1.0	1.0	1
VVV3.DE	3.3	0.5	0.5	1.0	2
WAF.DE	6.7	1.0	2.0	1.0	1
WIB.DE	3.3	0.0	1.0	1.0	1
WUW.DE	7.5	1.5	2.0	1.0	2
YOC.DE	6.7	1.0	2.0	1.0	1
ZIL2.DE	6.7	1.0	2.0	1.0	1
GASS	3.3	0.0	1.0	1.0	1
GCT	7.5	2.0	1.5	1.0	2
GEMI	6.7	1.0	2.0	1.0	1
GENK	6.7	1.0	2.0	1.0	1
GDS	3.3	1.0	0.0	1.0	1
GEVO	6.7	1.0	2.0	1.0	1
GIII	6.7	2.0	1.0	1.0	2
GLIBA	5.0	0.0	2.0	1.0	2
GLOO	6.7	1.0	2.0	1.0	1
GLUE	3.3	1.0	0.0	1.0	1
GNLX	5.0	1.0	1.0	1.0	1
GOGO	6.7	1.0	2.0	1.0	1
GPGI	6.7	1.0	2.0	1.0	1
GOOGL	5.0	2.0	0.0	1.0	2
GRMN	6.7	2.0	1.0	1.0	2
GRSD	6.7	1.0	2.0	1.0	1
GRAB	6.7	2.0	1.0	1.0	2
GSIT	5.0	1.0	1.0	1.0	1
GSAT	3.3	1.0	0.0	1.0	1
HALO	8.3	2.0	2.0	1.0	2
GTLB	5.8	1.0	1.5	1.0	1
HEPS	6.7	1.0	2.0	1.0	1
HCSG	5.0	1.0	1.0	1.0	1
HCAT	6.7	1.0	2.0	1.0	1
HBAN	7.5	2.0	1.5	1.0	2
HIMX	8.3	2.0	2.0	1.0	2
HLMN	7.5	2.0	1.5	1.0	2
HNRG	6.7	1.0	2.0	1.0	1
HOOD	8.3	2.0	2.0	1.0	2
HOWL	6.7	1.0	2.0	1.0	1
HQ	3.3	1.0	0.0	1.0	1
HSAI	8.3	2.0	2.0	1.0	2
HROW	6.7	1.0	2.0	1.0	1
HST	3.3	1.0	0.0	1.0	2
HUBG	7.5	2.0	1.5	1.0	2
HTHT	5.8	1.0	1.5	1.0	2
HWKN	5.0	0.5	1.5	1.0	2
AKTIA.HE	6.7	2.0	1.0	1.0	2
HUT	6.7	1.0	2.0	1.0	1
CANATU.HE	6.7	1.0	2.0	1.0	1
ASPO.HE	5.0	2.0	0.0	1.0	2
DETEC.HE	8.3	2.0	2.0	1.0	2
ELISA.HE	4.2	0.5	1.0	1.0	2
FORTUM.HE	5.0	1.0	1.0	1.0	2
HEALTH.HE	5.0	1.0	1.0	1.0	1
GOFORE.HE	6.7	1.0	2.0	1.0	1
KALMAR.HE	6.7	1.5	1.5	1.0	2
ETTE.HE	5.8	1.0	1.5	1.0	2
HUH1V.HE	6.7	2.0	1.0	1.0	2
KEMPOWR.HE	6.7	1.0	2.0	1.0	1
KNEBV.HE	4.2	0.0	1.5	1.0	2
MANTA.HE	8.3	2.0	2.0	1.0	2
LEMON.HE	7.5	2.0	1.5	1.0	2
OLVAS.HE	7.5	2.0	1.5	1.0	2
METSO.HE	7.5	2.0	1.5	1.0	2
PIHLIS.HE	4.2	0.0	1.5	1.0	2
ORNBV.HE	7.5	2.0	1.5	1.0	2
